Origin,Destination,Airline_name1,Flight_code,Stops,Travel_date,Departure_time,Arrival_time,Fare,Base price,GST,Currency,Scraped_at time,Source
BLR,BOM,IndiGo,6E-6753,1 stop,9/8/2026,15:15,19:55,5238,4988.57,249.43,INR,9/1/2026 6:23,Cleartrip
BLR,BOM,IndiGo,6E-6653,1 stop,9/8/2026,12:35,19:55,5238,4988.57,249.43,INR,9/1/2026 6:23,Cleartrip
BLR,PNQ,IndiGo,6E-408,Non-stop,10/16/2026,4:30,6:00,5315,5061.9,253.1,INR,9/1/2026 6:46,Cleartrip
BLR,PNQ,IndiGo,6E-6876,Non-stop,10/16/2026,2:40,4:05,5315,5061.9,253.1,INR,9/1/2026 6:46,Cleartrip
BLR,HYD,IndiGo,6E-7737,1 stop,10/16/2026,10:50,15:40,5331,5077.14,253.86,INR,9/1/2026 6:39,Cleartrip
BLR,HYD,IndiGo,6E-7227,1 stop,10/16/2026,6:25,11:15,5331,5077.14,253.86,INR,9/1/2026 6:39,Cleartrip
BLR,BOM,Akasa Air,QP-1150,Non-stop,10/1/2026,16:05,17:55,5337,5082.86,254.14,INR,9/1/2026 6:24,Cleartrip
BLR,BOM,Akasa Air,QP-1517,Non-stop,10/1/2026,5:00,6:50,5337,5082.86,254.14,INR,9/1/2026 6:24,Cleartrip
AMD,BOM,Air India,AI-2918,Non-stop,9/16/2026,6:00,7:45,5338,5083.81,254.19,INR,9/1/2026 6:43,Cleartrip
BLR,PNQ,Air India Express,IX-1971,Non-stop,10/1/2026,12:45,14:20,5350,5095.24,254.76,INR,9/1/2026 6:45,Cleartrip
BLR,PNQ,Akasa Air,QP-1311,Non-stop,10/16/2026,5:10,6:50,5351,5096.19,254.81,INR,9/1/2026 6:46,Cleartrip
MAA,HYD,Alliance Air,9I-894,Non-stop,9/16/2026,13:20,15:05,5359,5103.81,255.19,INR,9/1/2026 6:46,Cleartrip
AMD,BOM,IndiGo,6E-868,Non-stop,9/8/2026,21:25,23:00,5368,5112.38,255.62,INR,9/1/2026 6:43,Cleartrip
AMD,BOM,IndiGo,6E-6468,Non-stop,9/16/2026,9:00,10:30,5368,5112.38,255.62,INR,9/1/2026 6:43,Cleartrip
GOI,BOM,Air India Express,IX-1209,Non-stop,9/16/2026,22:35,0:05,5438,5179.05,258.95,INR,9/1/2026 6:51,Cleartrip
BLR,HYD,IndiGo,6E-6269,1 stop,10/16/2026,7:15,11:10,5463,5202.86,260.14,INR,9/1/2026 6:39,Cleartrip
BLR,HYD,IndiGo,6E-7223,1 stop,10/16/2026,15:30,21:40,5463,5202.86,260.14,INR,9/1/2026 6:39,Cleartrip
BLR,HYD,IndiGo,6E-356,1 stop,10/16/2026,17:15,21:25,5463,5202.86,260.14,INR,9/1/2026 6:39,Cleartrip
BLR,HYD,IndiGo,6E-6017,1 stop,10/16/2026,18:15,22:40,5463,5202.86,260.14,INR,9/1/2026 6:39,Cleartrip
BLR,HYD,IndiGo,6E-763,1 stop,10/16/2026,7:10,11:05,5463,5202.86,260.14,INR,9/1/2026 6:39,Cleartrip
BLR,BOM,Air India,AI-2811,Non-stop,9/2/2026,23:40,1:45,5475,5214.29,260.71,INR,9/1/2026 6:23,Cleartrip
BLR,BOM,Air India,AI-2858,Non-stop,9/2/2026,2:20,4:10,5475,5214.29,260.71,INR,9/1/2026 6:23,Cleartrip
BLR,HYD,IndiGo,6E-484,Non-stop,10/16/2026,8:15,9:30,5475,5214.29,260.71,INR,9/1/2026 6:39,Cleartrip
BLR,HYD,IndiGo,6E-528,1 stop,9/2/2026,21:40,3:10,5486,5224.76,261.24,INR,9/1/2026 6:38,Cleartrip
BLR,HYD,IndiGo,6.00E-105,1 stop,9/2/2026,18:50,3:10,5486,5224.76,261.24,INR,9/1/2026 6:38,Cleartrip
BLR,HYD,IndiGo,6E-6554,1 stop,9/2/2026,19:15,22:50,5486,5224.76,261.24,INR,9/1/2026 6:38,Cleartrip
